# Rust crates linked into libtokenizers inside ai.djl.huggingface:tokenizers:0.38.0
# Generated by tools/third-party/refresh-tokenizers-crates.py from DJL v0.38.0's
# extensions/tokenizers/rust/Cargo.lock (normal deps, targets: x86_64-unknown-linux-gnu, aarch64-unknown-linux-gnu, aarch64-apple-darwin, x86_64-pc-windows-gnu).
# Columns: crate, version, licence (Cargo.toml), origin, licence text ids in third-party/texts
# ('-' = the crate ships no licence file; the generator uses the canonical SPDX text).
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	crates.io	861399f8c21c042b,8ada45cd9f843acf,23f18e03dc49df91
ring	0.17.14	Apache-2.0 AND ISC	crates.io	b3d734001a94efff,005fc765ddc5115d,f025ccfb7dfb6bdf
rustls	0.23.31	Apache-2.0 OR ISC OR MIT	crates.io	a60eea8175145316,7cfafc877eccc46c,709e3175b4212f7b
rustls-pki-types	1.12.0	MIT OR Apache-2.0	crates.io	45fd05c4865e7c35,9117d922e6671255
rustls-webpki	0.103.13	ISC	crates.io	5b698ca13897be3a
rustversion	1.0.21	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
ryu	1.0.20	Apache-2.0 OR BSL-1.0	crates.io	62c7a1e35f564068,c9bff75738922193
safetensors	0.4.5	Apache-2.0	crates.io	c71d239df91726fc
seq-macro	0.3.6	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
serde	1.0.219	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
serde_derive	1.0.219	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
serde_json	1.0.142	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
serde_plain	1.0.2	MIT/Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
smallvec	1.15.1	MIT OR Apache-2.0	crates.io	a60eea8175145316,0b28172679e0009b
socks	0.3.4	MIT/Apache-2.0	crates.io	b40930bbcf80744c,b68cdf814c411806
spm_precompiled	0.1.4	Apache-2.0	crates.io	c71d239df91726fc
stable_deref_trait	1.2.0	MIT/Apache-2.0	crates.io	a60eea8175145316,3c125f249fc6fb19
static_assertions	1.1.0	MIT OR Apache-2.0	crates.io	cfc7749b96f63bd3,ea084a2373ebc1f0
strsim	0.11.1	MIT	crates.io	1e697ce8d21401fb
subtle	2.6.1	BSD-3-Clause	crates.io	cc0332a88c2ea21d
syn	2.0.104	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
synstructure	0.13.2	MIT	crates.io	219920e865eee70b
sysctl	0.5.5	MIT	crates.io	65a65293f8b9a970
sysctl	0.6.0	MIT	crates.io	65a65293f8b9a970
thiserror	1.0.69	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
thiserror	2.0.12	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
thiserror-impl	1.0.69	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
thiserror-impl	2.0.12	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
tinystr	0.8.1	Unicode-3.0	crates.io	f367c1b8e1aa2624
tokenizers	0.21.4	Apache-2.0	crates.io	c71d239df91726fc
toml_datetime	0.6.11	MIT OR Apache-2.0	crates.io	b40930bbcf80744c,6efb0476a1cc0850
toml_edit	0.22.27	MIT OR Apache-2.0	crates.io	b40930bbcf80744c,6efb0476a1cc0850
tracing	0.1.41	MIT	crates.io	898b1ae9821e98da
tracing-attributes	0.1.30	MIT	crates.io	898b1ae9821e98da
tracing-core	0.1.34	MIT	crates.io	898b1ae9821e98da
ug	0.1.0	MIT OR Apache-2.0	crates.io	-
unicode-ident	1.0.18	(MIT OR Apache-2.0) AND Unicode-3.0	crates.io	62c7a1e35f564068,23f18e03dc49df91,f7db81051789b729
unicode-normalization-alignments	0.1.12	MIT/Apache-2.0	crates.io	23860c2a7b5d96b2,a60eea8175145316,7b63ecd5f1902af1
unicode-segmentation	1.12.0	MIT OR Apache-2.0	crates.io	23860c2a7b5d96b2,a60eea8175145316,7b63ecd5f1902af1
unicode-width	0.2.1	MIT OR Apache-2.0	crates.io	23860c2a7b5d96b2,a60eea8175145316,7b63ecd5f1902af1
unicode_categories	0.1.1	MIT OR Apache-2.0	crates.io	b40930bbcf80744c,98a817e7b85e5fe4
untrusted	0.9.0	ISC	crates.io	7abd9b6960dcf7d4
ureq	2.12.1	MIT OR Apache-2.0	crates.io	c71d239df91726fc,7e5886959f67f8c7
url	2.5.4	MIT OR Apache-2.0	crates.io	a60eea8175145316,76e972ac0f4ddb11
utf8_iter	1.0.4	Apache-2.0 OR MIT	crates.io	c30152c94a6d75e0,cfc7749b96f63bd3,3fa4ca83dcc92378
webpki-roots	0.26.11	CDLA-Permissive-2.0	crates.io	e271993808fec50a
webpki-roots	1.0.2	CDLA-Permissive-2.0	crates.io	e271993808fec50a
winapi	0.3.9	MIT/Apache-2.0	crates.io	b40930bbcf80744c,ce7bc3499fee93d5
winapi-x86_64-pc-windows-gnu	0.4.0	MIT/Apache-2.0	crates.io	-
windows-sys	0.45.0	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
windows-sys	0.59.0	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
windows-sys	0.60.2	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
windows-targets	0.42.2	MIT OR Apache-2.0	crates.io	c16f8dcf1a368b83,c2cfccb812fe4821
